dayofweek,dayofyear,weekofyear,monthofyear,season
7,1,0,1,7
1,2,1,1,7
2,3,1,1,7
3,4,1,1,7
4,5,1,1,7
5,6,1,1,7
6,7,1,1,7
7,8,1,1,7
1,9,2,1,7
2,10,2,1,1
3,11,2,1,1
4,12,2,1,1
5,13,2,1,1
6,14,2,1,1
7,15,2,1,1
1,16,3,1,1
2,17,3,1,1
3,18,3,1,1
4,19,3,1,1
5,20,3,1,1
6,21,3,1,1
7,22,3,1,1
1,23,4,1,1
2,24,4,1,1
3,25,4,1,1
4,26,4,1,1
5,27,4,1,1
6,28,4,1,1
7,29,4,1,1
1,30,5,1,1
2,31,5,1,1
3,32,5,2,1
4,33,5,2,1
5,34,5,2,1
6,35,5,2,1
7,36,5,2,1
1,37,6,2,1
2,38,6,2,1
3,39,6,2,1
4,40,6,2,1
5,41,6,2,1
6,42,6,2,1
7,43,6,2,1
1,44,7,2,1
2,45,7,2,1
3,46,7,2,1
4,47,7,2,1
5,48,7,2,1
6,49,7,2,1
7,50,7,2,1
1,51,8,2,1
2,52,8,2,1
3,53,8,2,1
4,54,8,2,1
5,55,8,2,1
6,56,8,2,1
7,57,8,2,1
1,58,9,2,1
2,59,9,2,1
3,60,9,3,3
4,61,9,3,3
5,62,9,3,3
6,63,9,3,3
7,64,9,3,3
1,65,10,3,3
2,66,10,3,3
3,67,10,3,3
4,68,10,3,3
5,69,10,3,3
6,70,10,3,3
7,71,10,3,3
1,72,11,3,3
2,73,11,3,3
3,74,11,3,3
4,75,11,3,3
5,76,11,3,3
6,77,11,3,3
7,78,11,3,3
1,79,12,3,3
2,80,12,3,3
3,81,12,3,3
4,82,12,3,3
5,83,12,3,3
6,84,12,3,3
7,85,12,3,3
1,86,13,3,3
2,87,13,3,3
3,88,13,3,3
4,89,13,3,3
5,90,13,3,3
6,91,13,4,3
7,92,13,4,3
1,93,14,4,3
2,94,14,4,3
3,95,14,4,3
4,96,14,4,3
5,97,14,4,2
6,98,14,4,2
7,99,14,4,2
1,100,15,4,2
2,101,15,4,2
3,102,15,4,2
4,103,15,4,2
5,104,15,4,2
6,105,15,4,2
7,106,15,4,2
1,107,16,4,2
2,108,16,4,2
3,109,16,4,2
4,110,16,4,2
5,111,16,4,2
6,112,16,4,2
7,113,16,4,2
1,114,17,4,2
2,115,17,4,2
3,116,17,4,3
4,117,17,4,3
5,118,17,4,3
6,119,17,4,3
7,120,17,4,3
1,121,18,5,3
2,122,18,5,3
3,123,18,5,3
4,124,18,5,3
5,125,18,5,3
6,126,18,5,3
