date,predicted_safari,predicted_everest,predicted_dino
1/1/2022,43,49,29
1/2/2022,21,31,27
1/3/2022,27,37,31
1/4/2022,40,41,26
1/5/2022,41,39,21
1/6/2022,33,33,25
1/7/2022,20,24,19
1/8/2022,35,36,22
1/9/2022,30,32,31
1/10/2022,21,21,15
1/11/2022,21,21,15
1/12/2022,13,13,11
1/13/2022,18,19,21
1/14/2022,17,29,15
1/15/2022,48,38,31
1/16/2022,47,41,33
1/17/2022,57,42,30
1/18/2022,20,21,18
1/19/2022,24,19,15
1/20/2022,28,19,17
1/21/2022,28,20,12
1/22/2022,33,28,27
1/23/2022,36,55,24
1/24/2022,33,25,18
1/25/2022,25,15,16
1/26/2022,13,10,11
1/27/2022,13,12,14
1/28/2022,50,31,23
1/29/2022,53,36,33
1/30/2022,45,29,26
1/31/2022,35,26,25
2/1/2022,18,16,13
2/2/2022,26,13,14
2/3/2022,20,18,16
2/4/2022,45,35,22
2/5/2022,54,36,25
2/6/2022,40,38,30
2/7/2022,45,38,28
2/8/2022,20,22,19
2/9/2022,28,21,17
2/10/2022,70,28,21
2/11/2022,62,36,26
2/12/2022,77,44,30
2/13/2022,71,51,37
2/14/2022,67,40,31
2/15/2022,32,20,20
2/16/2022,46,21,19
2/17/2022,51,26,24
2/18/2022,47,52,26
2/19/2022,58,41,27
2/20/2022,58,49,43
2/21/2022,27,26,26
2/22/2022,17,24,21
2/23/2022,19,20,12
2/24/2022,61,26,22
2/25/2022,74,25,23
2/26/2022,51,28,26
2/27/2022,46,37,29
2/28/2022,36,25,23
3/1/2022,22,20,17
3/2/2022,25,14,14
3/3/2022,38,17,16
3/4/2022,22,29,23
3/5/2022,36,33,22
3/6/2022,44,36,31
3/7/2022,40,31,25
3/8/2022,31,29,20
3/9/2022,38,26,18
3/10/2022,42,27,29
3/11/2022,40,58,32
3/12/2022,41,38,34
3/13/2022,45,39,29
3/14/2022,63,44,44
3/15/2022,75,44,43
3/16/2022,71,39,31
3/17/2022,65,51,31
3/18/2022,52,57,30
3/19/2022,46,33,28
3/20/2022,47,42,29
3/21/2022,43,35,27
3/22/2022,43,31,25
3/23/2022,59,36,27
3/24/2022,54,40,28
3/25/2022,52,46,29
3/26/2022,54,49,30
3/27/2022,43,42,34
3/28/2022,42,43,33
3/29/2022,38,42,32
3/30/2022,55,44,22
3/31/2022,53,43,27
4/1/2022,35,37,27
4/2/2022,35,40,27
4/3/2022,52,38,27
4/4/2022,43,36,27
4/5/2022,51,36,28
4/6/2022,70,38,26
4/7/2022,49,54,29
4/8/2022,45,46,27
4/9/2022,44,49,29
4/10/2022,58,45,29
4/11/2022,48,34,32
4/12/2022,34,31,24
4/13/2022,35,32,24
4/14/2022,55,39,32
4/15/2022,65,38,35
4/16/2022,62,44,34
4/17/2022,40,30,23
4/18/2022,37,30,25
4/19/2022,36,29,23
4/20/2022,38,30,23
4/21/2022,41,33,24
4/22/2022,42,38,26
4/23/2022,43,44,27
